------------------------------------------------------------------------------------
Process Automation : Mon_Nov_20_15.57.29_2023
------------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': '0.05859375 MB'}
{'name': 'svchost.exe', 'pid': 12256, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.375 MB'}
{'name': 'msedge.exe', 'pid': 12292, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.6171875 MB'}
{'name': 'IGCC.exe', 'pid': 12356, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '16.4765625 MB'}
{'name': 'RuntimeBroker.exe', 'pid': 12540, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.3515625 MB'}
{'name': 'RuntimeBroker.exe', 'pid': 12716, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '8.78515625 MB'}
{'name': 'cpptools.exe', 'pid': 12780, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '13.19140625 MB'}
{'name': 'chrome.exe', 'pid': 12884, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '190.41796875 MB'}
{'name': 'svchost.exe', 'pid': 12964, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '1.46875 MB'}
{'name': 'NVIDIA Web Helper.exe', 'pid': 13132, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '35.71484375 MB'}
{'name': 'conhost.exe', 'pid': 13168, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '5.23828125 MB'}
{'name': 'AsusSystemAnalysis.exe', 'pid': 13532, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.2890625 MB'}
{'name': 'Telegram.exe', 'pid': 13824, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '412.16796875 MB'}
{'name': 'svchost.exe', 'pid': 13832, 'username': None, 'vms': '2.76953125 MB'}
{'name': 'msedge.exe', 'pid': 13948, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '45.4609375 MB'}
{'name': 'RuntimeBroker.exe', 'pid': 14164, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '7.17578125 MB'}
{'name': 'chrome.exe', 'pid': 14168, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '40.40234375 MB'}
{'name': 'SearchIndexer.exe', 'pid': 14244, 'username': None, 'vms': '17.69921875 MB'}
{'name': 'backgroundTaskHost.exe', 'pid': 14256, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '17.6328125 MB'}
